"","ukr","en","","","NOTES – use \n for newline","max length"
"action_big_magic_shield","Big magic guard","Big magic guard","","","",""
"actiondesc_big_magic_shield","Eight guarding lights rotate around you for a time","Eight guarding lights rotate around you for a time","","","",""
"action_swarm_fly","Summon fly swarm","Summon fly swarm","","","",""
"actiondesc_swarm_fly","Summons five flies to aid you in battle","Summons five flies to aid you in battle","","","",""
"action_swarm_firebug","Summon Firebug swarm","Summon Firebug swarm","","","",""
"actiondesc_swarm_firebug","Summons four fire bugs to aid you in battle","Summons four fire bugs to aid you in battle","","","",""
"action_swarm_wasp","Summon Wasp swarm","Summon Wasp swarm","","","",""
"actiondesc_swarm_wasp","Summon six wasps to aid you in battle","Summon six wasps to aid you in battle","","","",""
"action_friend_fly","Summon Friendly fly","Summon Friendly fly","","","",""
"actiondesc_friend_fly","Summons a friendly fly that attacks your enemies!","Summons a friendly fly that attacks your enemies!","","","",""
"action_duplicate","Spell duplication","Spell duplication","","","",""
"actiondesc_duplicate","Duplicates every spell cast before it","Duplicates every spell cast before it","","","",""
"action_infestation","Infestation","Infestation","","","",""
"actiondesc_infestation","A bunch of magical sparks that fly in every direction","A bunch of magical sparks that fly in every direction","","","",""
"action_crumbling_earth_projectile","Earthquake shot","Earthquake shot","","","",""
"actiondesc_crumbling_earth_projectile","Makes a projectile crumble the earth it hits","Makes a projectile crumble the earth it hits","","","",""
"action_random_spell","Random spell","Random spell","","","",""
"actiondesc_random_spell","Casts a spell, any spell, at random!","Casts a spell, any spell, at random!","","","",""
"action_random_projectile","Random projectile spell","Random projectile spell","","","",""
"actiondesc_random_projectile","Casts one random projectile spell","Casts one random projectile spell","","","",""
"action_random_modifier","Vypadkove modyfikacijne zaklynannja","Random modifier spell","","","",""
"actiondesc_random_modifier","Aktyvuje odne vypadkove zaklynannja modyfikaciï snarjada","Casts one random modifier spell","","","",""
"action_random_static_projectile","Random static projectile spell","Random static projectile spell","","","",""
"actiondesc_random_static_projectile","Casts one random static projectile spell","Casts one random static projectile spell","","","",""
"action_draw_random","Copy random spell","Copy random spell","","","",""
"actiondesc_draw_random","Casts a random spell among the spells in your wand","Casts a random spell among the spells in your wand","","","",""
"action_draw_random_x3","Copy random spell thrice","Copy random spell thrice","","","",""
"actiondesc_draw_random_x3","Casts a random spell among the spells in your wand three times!","Casts a random spell among the spells in your wand three times!","","","",""
"action_draw_3_random","Copy three random spells","Copy three random spells","","","",""
"actiondesc_draw_3_random","Casts three random spells among the spells in your wand","Casts three random spells among the spells in your wand","","","",""
"action_damage_random","Random damage","Random damage","","","",""
"actiondesc_damage_random","Randomly increases or lowers the damage done by projectiles","Randomly increases or lowers the damage done by projectiles","","","",""
"action_alpha","Alpha","Alpha","","","",""
"actiondesc_alpha","Casts a copy of the first spell in your wand","Casts a copy of the first spell in your wand","","","",""
"action_omega","Omega","Omega","","","",""
"actiondesc_omega","Casts copies of every spell in your wand","Casts copies of every spell in your wand","","","",""
"action_gamma","Gamma","Gamma","","","",""
"actiondesc_gamma","Casts a copy of the next spell in your wand","Casts a copy of the next spell in your wand","","","",""
"action_divide_2","Rozdilyty na 2","Divide by 2","","","",""
"actiondesc_divide_2","Snarjad dilytjsja na dvi častyny z menšoju škodoju","The projectile is divided in two pieces with lower damage","","","",""
"action_divide_3","Rozdilyty na 3","Divide by 3","","","",""
"actiondesc_divide_3","Snarjad dilytjsja na try častyny z menšoju škodoju","The projectile is divided in three pieces with lower damage","","","",""
"action_divide_4","Rozdilyty na 4","Divide by 4","","","",""
"actiondesc_divide_4","Snarjad dilytjsja na 4 častyny z menšoju škodoju","The projectile is divided in four pieces with lower damage","","","",""
"action_divide_10","Rozdilyty na 10","Divide by 10","","","",""
"actiondesc_divide_10","Snarjad dilytjsja na desjatj častyn z menšoju škodoju","The projectile is divided in ten pieces with lower damage","","","",""
"action_all_nukes","Zaklynannja v jaderky","Spells to nukes","","","",""
"actiondesc_all_nukes","Peretvorjuje kožen snarjad u povitri v jaderni bomby (Ne duže xoroša ideja)","Transforms every projectile currently in the air into a nuke; not a good idea","","","",""
"action_all_discs","Spells to giga sawblades","Spells to giga sawblades","","","",""
"actiondesc_all_discs","Transforms every projectile currently in the air into a giant sawblade","Transforms every projectile currently in the air into a giant sawblade","","","",""
"action_all_blackholes","Zaklynannja v čorni diry","Spells to black holes","","","",""
"actiondesc_all_blackholes","Peretvorjuje kožen snarjad u povitri v čorni diry","Transforms every projectile currently in the air into a black hole","","","",""
"action_all_rockets","Zaklynannja v mağični rakety","Spells to magic missiles","","","",""
"actiondesc_all_rockets","Peretvorjuje kožen snarjad u povitri v mağični rakety","Transforms every projectile currently in the air into a magic missile","","","",""
"action_all_deathcrosses","Spells to death crosses","Spells to death crosses","","","",""
"actiondesc_all_deathcrosses","Transforms every projectile currently in the air into a death cross","Transforms every projectile currently in the air into a death cross","","","",""
"action_all_acid","Spells to acid","Spells to acid","","","",""
"actiondesc_all_acid","Transforms every projectile currently in the air into a pool of acid","Transforms every projectile currently in the air into a pool of acid","","","",""
"action_all_spells","The end of everything","The end of everything","","","",""
"actiondesc_all_spells","You're heavily advised not to cast this spell.","You're heavily advised not to cast this spell.","","","",""
"action_add_trigger","Add trigger","Add trigger","","","",""
"actiondesc_add_trigger","Makes a projectile cast another spell upon collision","Makes a projectile cast another spell upon collision","","","",""
"action_add_timer","Dodaty časomir","Add timer","","","",""
"actiondesc_add_timer","Makes a projectile cast another spell after a short time","Makes a projectile cast another spell after a short time","","","",""
"action_add_death_trigger","Add expiration trigger","Add expiration trigger","","","",""
"actiondesc_add_death_trigger","Makes a projectile cast another spell upon expiring","Makes a projectile cast another spell upon expiring","","","",""
"action_copy_spell","Copy spell","Copy spell","","","",""
"actiondesc_copy_spell","Copies a projectile near you","Copies a projectile near you","","","",""
"action_copy_field","Kopijuvaljne pole","Copy field","","","",""
"actiondesc_copy_field","Mağične pole, ŝo kopijuje budj-jaki snarjady bilja njoğo","A magical field that copies any projectiles near it","","","",""
"action_larpa_chaos","Xaotyčna larpa","Chaos larpa","","","",""
"actiondesc_larpa_chaos","Snarjad čakluje svoï kopiï u vypadkovyx naprjamkax","Makes a projectile cast copies of itself in random directions","","","",""
"action_larpa_downwards","Nyzxidna larpa","Downwards larpa","","","",""
"actiondesc_larpa_downwards","Makes a projectile cast copies of itself with a downwards trajectory","Makes a projectile cast copies of itself with a downwards trajectory","","","",""
"action_larpa_upwards","Vysxidna larpa","Upwards larpa","","","",""
"actiondesc_larpa_upwards","Makes a projectile cast copies of itself with an upwards trajectory","Makes a projectile cast copies of itself with an upwards trajectory","","","",""
"action_delta","Delta","Delta","","","",""
"actiondesc_delta","Casts a copy of the last spell in your wand","Casts a copy of the last spell in your wand","","","",""
"action_larpa_chaos_2","Slid vidbytkiv","Copy trail","","","",""
"actiondesc_larpa_chaos_2","Nabij zalyšaje vidbytky sebe","Makes a projectile leave a trail of copies of itself","","","",""
"actiondesc_chainsaw","Spravne znarjaddja dlja narizky m'jasa. Takož maje dejaki čarivni vlastyvosti...","A good tool for cutting meat. Also has some magical properties...","","","",""
"action_spore_pod","Prickly Spore Pod","Prickly Spore Pod","","","",""
"actiondesc_spore_pod","Summons a spore pod that attaches to a surface and then grows and explodes into spikes","Summons a spore pod that attaches to a surface and then grows and explodes into spikes","","","",""
"action_energy_shield_shot","Projectile energy shield","Projectile energy shield","","","",""
"actiondesc_energy_shield_shot","Gives a projectile a shield that deflects other projectiles","Gives a projectile a shield that deflects other projectiles","","","",""
"action_autoaim","Auto-Aim","Auto-Aim","","","",""
"actiondesc_autoaim","Makes a projectile turns towards the nearest visible enemy","Makes a projectile turns towards the nearest visible enemy","","","",""
"action_homing_rotate","Rotate towards foes","Rotate towards foes","","","",""
"actiondesc_homing_rotate","Makes a projectile turn towards your foes","Makes a projectile turn towards your foes","","","",""
"actiondesc_homing","Makes a projectile accelerate towards your foes","Makes a projectile accelerate towards your foes","","","",""
"action_swapper_projectile","Minjajlo","Swapper","","","",""
"actiondesc_swapper_projectile","Za teorijeju vono malo peremiŝuvaty džerelo kvalia... ale naspravdi peremiŝuje vse tilo.","It was theorized that the source of qualia would be transferred …But it turns out it was the whole body all along.","","","",""
"action_propane_tank","Propanovyj balon","Propane tank","","","",""
"actiondesc_propane_tank","Stvorjuje propanovyj balon. Budjte oberežni zi svoïmy bažannjamy.","Summons a propane tank. Be careful what you wish for.","","","",""
"action_megalaser","Intense concentrated light","Intense concentrated light","","","",""
"actiondesc_megalaser","A spectral wand is summoned that casts a huge beam of light","A spectral wand is summoned that casts a huge beam of light","","","",""
"action_bomb_cart","Vizok čynjanok","Bomb cart","","","",""
"actiondesc_bomb_cart","Vyklykaje samoxidnyj vizok načynenyj vybuxivkoju","Summons a self-propeled mine cart loaded with explosives","","","",""
"action_tiny_ghost","Summon Tiny Ghost","Summon Tiny Ghost","","","",""
"actiondesc_tiny_ghost","Summons a tiny ethereal being to your help","Summons a tiny ethereal being to your help","","","",""
"action_bounce_spark","Buljbaškovyj vidskok","Bubbly bounce","","","",""
"actiondesc_bounce_spark","Zmušuje snarjad striljaty buljbaškovymy iskramy, koly vin vidskakuje","Makes a projectile shoot bubble sparks as it bounces","","","",""
"action_cursed_orb","Prokljata sfera","Cursed sphere","","","",""
"actiondesc_cursed_orb","Snarjad, ŝo prynosytj neŝastja kožnomu, v koğo popade","A projectile that brings bad luck to anyone it hits","","","",""
"action_kantele_a","Kantele - note A","Kantele - note A","","","",""
"actiondesc_kantele_a","Muzyka dlja vašyx vux!","Music for your ears!","","","",""
"action_kantele_b","Kantele - note B","Kantele - note B","","","",""
"actiondesc_kantele_b","Muzyka dlja vašyx vux!","Music for your ears!","","","",""
"action_kantele_c","Kantele - note C","Kantele - note C","","","",""
"actiondesc_kantele_c","Muzyka dlja vašyx vux!","Music for your ears!","","","",""
"action_kantele_d","Kantele - note D","Kantele - note D","","","",""
"actiondesc_kantele_d","Muzyka dlja vašyx vux!","Music for your ears!","","","",""
"action_kantele_e","Kantele - note E","Kantele - note E","","","",""
"actiondesc_kantele_e","Muzyka dlja vašyx vux!","Music for your ears!","","","",""
"action_kantele_f","Kantele - note F","Kantele - note F","","","",""
"actiondesc_kantele_f","Muzyka dlja vašyx vux!","Music for your ears!","","","",""
"action_kantele_gsharp","Kantele - note G#","Kantele - note G#","","","",""
"actiondesc_kantele_gsharp","Muzyka dlja vašyx vux!","Music for your ears!","","","",""
"action_kantele_a2","Kantele - note A2","Kantele - note A2","","","",""
"actiondesc_kantele_a2","Muzyka dlja vašyx vux!","Music for your ears!","","","",""
"action_kantele_dis","Kantele - note D#","Kantele - note D#","","","",""
"actiondesc_kantele_dis","Muzyka dlja vašyx vux!","Music for your ears!","","","",""
"action_kantele_g","Kantele - note G","Kantele - note G","","","",""
"actiondesc_kantele_g","Muzyka dlja vašyx vux!","Music for your ears!","","","",""
"perk_hearts_more_extra_hp","Syljni sercja","Stronger Hearts","","","",""
"perkdesc_hearts_more_extra_hp","Sercja darujutj vdviči biljše maks. zdorov'ja.","Hearts bestow double the maximum health.","","","",""
"perk_extra_perk","Dodatkova zdibnistj","Extra Perk","","","",""
"perkdesc_extra_perk","From now on you will find an extra perk in every Holy Mountain.","From now on you will find an extra perk in every Holy Mountain.","","","",""
"perk_perks_lottery","Lotereja zdibnostej","Perk Lottery","","","",""
"perkdesc_perks_lottery","Koly vy obyrajete odnu zdibnistj, je 50% jmovirnistj, ŝo inši ne znyknutj.","When you pick a perk, there's a 50% chance the others won't disappear.","","","",""
"perk_genome_more_hatred","Biljše nenavysti","More Hatred","","","",""
"perkdesc_genome_more_hatred","Istoty stajutj biljš ağresyvnymy po vidnošennju odyn do odnoğo.","Creatures become more aggressive towards each other.","","","",""
"perk_genome_more_love","Biljše ljubovi","More Love","","","",""
"perkdesc_genome_more_love","Istoty stajutj biljš dobrozyčlyvymy po vidnošennju odyn do odnoğo.","Creatures become more friendly towards each other.","","","",""
"perk_random_allies","Vypadkovi sojuznyky","Random Allies","","","",""
"perkdesc_random_allies","Vy sojuznyky z vypadkovoju ğrupoju voroğiv.","You're allies with a random enemy group.","","","",""
"perk_remove_fog_of_war","Vsevydjače oko","All-Seeing Eye","","","",""
"perkdesc_remove_fog_of_war","Vy bačyte budj-de.","You can see everywhere.","","","",""
"perk_attract_items","Mağnit dlja zolota","Attract Gold","","","",""
"perkdesc_attract_items","Zoloti samorodky prytjağujutjsja do vas.","Gold nuggets gravitate towards you.","","","",""
"perk_strong_kick","Nikoly ne propuskajte denj niğ","Never Skip Leg Day","","","",""
"perkdesc_strong_kick","Vaši kopnjaky zavdajutj biljše škody ta kraŝe vidštovxujutj.","Your kicks deal extra damage and knockback.","","","",""
"perk_projectile_repulsion","Projectile Repulsion Field","Projectile Repulsion Field","","","",""
"perkdesc_projectile_repulsion","Most projectiles are repulsed by your presence, but you take slightly more projectile damage.","Most projectiles are repulsed by your presence, but you take slightly more projectile damage.","","","",""
"perkdesc_bleed_slime","You bleed slime, but slime no longer slows you down.","You bleed slime, but slime no longer slows you down.","","","",""
"perk_multiply_hp","Podvojennja zdorov'ja, bez zcilennja","Multiplied HP, No Healing","","","",""
"perkdesc_multiply_hp","Vaše OZ bude prymnožene, ale vy biljše ne zmožete joğo popovnyty.","Your HP has been multiplied but you can no longer regain HP.","","","",""
"perk_bleed_oil","Krov z nafty","Oil Blood","","","",""
"perkdesc_bleed_oil","Vaša krov - leğkozajmysta nafta.","You bleed flammable oil.","","","",""
"perk_golden_i","Vične zoloto","Golden I","","","",""
"perkdesc_golden_i","Zoloto, jake vy bačyly, ne bude znykaty z časom.","Gold that you've seen no longer disappears over time.","","","",""
"perk_no_player_knockback","Imunitet vidštovxuvannju","Knockback Immunity","","","",""
"perkdesc_no_player_knockback","Vidštovxuvannja biljše ne dije na vas.","Knockback does not affect you.","","","",""
"perk_extra_knockback","Dodatkove vidštovxuvannja na zaklynannjax","Extra Knockback on Spells","","","",""
"perkdesc_extra_knockback","Vaši zaklynannja vidštovxujutj voroğiv syljniše.","Your spells knock enemies around with more force.","","","",""
"perk_lower_spread","Concentrated Spells","Concentrated Spells","","","",""
"perkdesc_lower_spread","Your spells have lower spread, but they push you back more.","Your spells have lower spread, but they push you back more.","","","",""
"perk_bounce","Bouncing Spells","Bouncing Spells","","","",""
"perkdesc_bounce","Majže vsi zaklynannja vidskakujutj.","Almost all your spells bounce around.","","","",""
"perk_projectile_homing_shooter","Boomerang Spells","Boomerang Spells","","","",""
"perkdesc_projectile_homing_shooter","Almost all your spells arc towards you. You gain higher projectile resistance.","Almost all your spells arc towards you. You gain higher projectile resistance.","","","",""
"perk_worm_attractor","Prytjağuvač xrobakiv","Worm Attractor","","","",""
"perkdesc_worm_attractor","Xrobaky vvažajutj vas pryvablyvymy.","Worms find you attractive.","","","",""
"perk_worm_detractor","Vidljakuvač xrobakiv","Worm Detractor","","","",""
"perkdesc_worm_detractor","Xrobaky tikajutj vid vas.","Worms run from you.","","","",""
"perk_speed_diver","Švydše plavannja","Fast Swimming","","","",""
"perkdesc_speed_diver","Ty profesijnyj plavecj!","You are an expert swimmer!","","","",""
"perk_revenge_tentacle","Revenge Tentacle","Revenge Tentacle","","","",""
"perkdesc_revenge_tentacle","You call a monstrous tentacle against those who harm you.","You call a monstrous tentacle against those who harm you.","","","",""
"perk_attack_foot","Mutacija Lukki","Lukki Mutation","","","",""
"perkdesc_attack_foot","You grow curious additional limbs that fight for you.","You grow curious additional limbs that fight for you.","","","",""
"perk_plague_rats","Morovyčni ŝury","Plague Rats","","","",""
"perkdesc_plague_rats","Voroğy ŝo pomerly bilja vas vyklykajutj virnyx ğolodnyx ŝuriv.","Enemies that die near you summon hungry rats to serve your bidding.","","","",""
"perk_radar_enemy","Radar voroğiv","Enemy Radar","","","",""
"perkdesc_radar_enemy","Vy možete vidčuvaty voroğiv poblyzu.","You can sense nearby enemies.","","","",""
"perk_radar_wand","Radar palyčok","Wand Radar","","","",""
"perkdesc_radar_wand","Vy možete vidčuvaty palyčky poblyzu.","You can sense nearby wands.","","","",""
"perk_unlimited_spells","Unlimited Spells","Unlimited Spells","","","",""
"perkdesc_unlimited_spells","Most spells are now unlimited.","Most spells are now unlimited.","","","",""
"perk_leggy_feet","Leggy Mutation","Leggy Mutation","","","",""
"perkdesc_leggy_feet","You grow disturbing looking limbs that fight for you.","You grow disturbing looking limbs that fight for you.","","","",""
"perk_always_cast","Zavždy vykorystovuje","Always Cast","","","",""
"perkdesc_always_cast","A random Always Cast spell is added to the wand in your hand, with a maximum of 5.","A random Always Cast spell is added to the wand in your hand, with a maximum of 5.","","","",""
"perk_no_more_shuffle","Nijakoğo biljše peremišuvannja","No More Shuffle","","","",""
"perkdesc_no_more_shuffle","Vidteper palyčok, ŝo peremišujutj zaklynannja, biljše ne isnuje. Palyčky, jaki vy nosyte z soboju, tež perestajutj ce robyty.","From now on there are no more shuffling wands. The wands you carry with you turn into non-shufflers too.","","","",""
"perk_vampirism","Vampiryzm","Vampirism","","","",""
"perkdesc_vampirism","Vy vidnovljujete zdorov'ja vid pytnoï krovi, ale vtračajete tretynu maksymaljnoğo rivnja zdorov’ja. Krov ne vplyvaje na rivenj nasyčenosti.","You regain health from drinking blood, but you lose one third of maximum health. Blood doesn't affect satiation level.","","","",""
"perk_no_wand_editing","No Wand Tinkering","No Wand Tinkering","","","",""
"perkdesc_no_wand_editing","Wands cannot be tinkered with, but enemies may drop blood money.","Wands cannot be tinkered with, but enemies may drop blood money.","","","",""
"perk_telekinesis","Telekinetic Kick","Telekinetic Kick","","","",""
"perkdesc_telekinesis","You gain new telekinetic powers.","You gain new telekinetic powers.","","","",""
"perk_projectile_duplicate","Duplicated shots","Duplicated shots","","","",""
"perkdesc_projectile_duplicate","Your spells duplicate as they hit obstacles.","Your spells duplicate as they hit obstacles.","","","",""
"perk_low_hp_damage_boost","Living on the Edge","Living on the Edge","","","",""
"perkdesc_low_hp_damage_boost","Your spells deal 3x damage when you're under 25 HP or 25% of maximum health.","Your spells deal 3x damage when you're under 25 HP or 25% of maximum health.","","","",""
"perk_faster_levitation","Faster Levitation","Faster Levitation","","","",""
"perkdesc_faster_levitation","You levitate 75% faster.","You levitate 75% faster.","","","",""
"perk_peace_with_steve","Peace with Gods","Peace with Gods","","","",""
"perkdesc_peace_with_steve","You make peace with your Gods.","You make peace with your Gods.","","","",""
"perk_gold_is_forever","Gold Is Forever","Gold Is Forever","","","",""
"perkdesc_gold_is_forever","Gold nuggets never disappear.","Gold nuggets never disappear.","","","",""
"perk_wand_experimenter","Wand Experimenter","Wand Experimenter","","","",""
"perk_trick_blood_money","Trick Blood Money","Trick Blood Money","","","",""
"perkdesc_trick_blood_money","Blood money is dropped when death is an accident.","Blood money is dropped when death is an accident.","","","",""
"perk_levitation_trail","Levitacijnyj slid","Levitation Trail","","","",""
"perkdesc_levitation_trail","Pid čas levitaciï vy zalyšajete za soboju šlejf mağičnyx iskor, jaki zavdajutj škody povz proxodjačym istotam.","When levitating, you leave a trail of magical sparks that harm passing creatures.","","","",""
"perkdesc_wand_experimenter","Striljba novoznajdenymy ta ne modyfikovanymy palyčkamy zciljuje vas.","Firing newly found and unmodified wands heals you.","","","",""
"perk_protection_freeze","Imunitet do zamorozky","Freezing Immunity","","","",""
"perkdesc_protection_freeze","Vy ne možete buty zamoroženymy.","You cannot be frozen.","","","",""
"item_mcguffin","Vidsutnij ključ","Missing Key","","","",""
"itemdesc_mcguffin","Pro ce kazalosj, jak pro zaveršennja Praci","This has been said to complete the Work","","","",""
"item_mcguffin_0","Silj","The Salt","","","",""
"itemdesc_mcguffin_0","Pro ce kazalosj, jak pro zaveršennja Praci","This has been said to complete the Work","","","",""
"item_mcguffin_1","Naša materija","Our Matter","","","",""
"itemdesc_mcguffin_1","Pro ce kazalosj, jak pro zaveršennja Praci","This has been said to complete the Work","","","",""
"item_mcguffin_2","Ptax Ğermesa","Hermes bird","","","",""
"itemdesc_mcguffin_2","Pro ce kazalosj, jak pro zaveršennja Praci","This has been said to complete the Work","","","",""
"item_mcguffin_3","Bilyj orel","White Eagle","","","",""
"itemdesc_mcguffin_3","Pro ce kazalosj, jak pro zaveršennja Praci","This has been said to complete the Work","","","",""
"item_mcguffin_4","Zelenyj lev","The Green Lion","","","",""
"itemdesc_mcguffin_4","Pro ce kazalosj, jak pro zaveršennja Praci","This has been said to complete the Work","","","",""
"item_mcguffin_5","Červonyj lev","Red Lion","","","",""
"itemdesc_mcguffin_5","Pro ce kazalosj, jak pro zaveršennja Praci","This has been said to complete the Work","","","",""
"item_mcguffin_6","Nebesnyj rubin","Celestial Ruby","","","",""
"itemdesc_mcguffin_6","Pro ce kazalosj, jak pro zaveršennja Praci","This has been said to complete the Work","","","",""
"item_mcguffin_7","Mağnesija","Magnesia","","","",""
"itemdesc_mcguffin_7","Pro ce kazalosj, jak pro zaveršennja Praci","This has been said to complete the Work","","","",""
"item_mcguffin_8","Posudyna filosofiv","The Vessel of the Philosophers","","","",""
"itemdesc_mcguffin_8","Pro ce kazalosj, jak pro zaveršennja Praci","This has been said to complete the Work","","","",""
"item_mcguffin_9","Naš blağoslovennyj kaminj","Our Blessed Stone","","","",""
"itemdesc_mcguffin_9","Pro ce kazalosj, jak pro zaveršennja Praci","This has been said to complete the Work","","","",""
"item_mcguffin_10","Magnum Opus","Magnum Opus","","","",""
"itemdesc_mcguffin_10","Pro ce kazalosj, jak pro zaveršennja Praci","This has been said to complete the Work","","","",""
"item_mcguffin_11","Philosopher's Stone","Philosopher's Stone","","","",""
"itemdesc_mcguffin_11","This has been said to complete the Work","This has been said to complete the Work","","","",""
"item_mcguffin_12","Sampo","Sampo","","","",""
"itemdesc_mcguffin_12","This has been said to complete the Work","This has been said to complete the Work","","","",""
"item_mcguffin_13","True Knowledge","True Knowledge","","","",""
"itemdesc_mcguffin_13","You have completed the Work","You have completed the Work","","","",""
"item_perk_reroll","Perk reroll","Perk reroll","","","",""
"item_essence_fire","Essence of Fire","Essence of Fire","","","",""
"itemdesc_essence_fire","Your entire being is fluctuating!","Your entire being is fluctuating!","","","",""
"item_essence_laser","Esencija Zemli","Essence of Earth","","","",""
"itemdesc_essence_laser","Tvoje jestvo vyprominjuje zğubne svitlo!","Your being releases damaging light!","","","",""
"item_essence_air","Esencija povitrja","Essence of Air","","","",""
"itemdesc_essence_air","Vaše jestvo keruje povitrjam navkolo tebe!","Your being controls the air around you!","","","",""
"item_essence_water","Esencija vody","Essence of Water","","","",""
"itemdesc_essence_water","Zemlja teče navkolo vas!","The earth flows around you!","","","",""
"item_essence_alcohol","Essence of Spirits","Essence of Spirits","","","",""
"itemdesc_essence_alcohol","That was not the best of ideas","That was not the best of ideas","","","",""
"item_chest_treasure_super","Great treasure chest","Great treasure chest","","","",""
"item_rock","Kaminj","Rock","","","",""
"itemdesc_rock","Ce kaminj.","It's a rock.","","","",""
"item_egg_hollow","Porožnje jajce","Hollow egg","","","",""
"itemdesc_egg_hollow","Cikavo, čy je ŝosj vseredyni?","I wonder if there's anything inside?","","","",""
"item_egg_worm","Jajce, ŝo vorušytjsja","Wiggling egg","","","",""
"item_description_egg_worm","Ŝosj vorušytjsja vseredyni","Something wiggles inside","","","",""
"item_egg_purple","Xolodne jajce","Chilly egg","","","",""
"item_description_egg_purple","Jajce zdajetjsja xolodnym","The egg feels cold","","","",""
"item_egg_fire","Toasty egg","Toasty egg","","","",""
"item_description_egg_fire","The egg feels very warm","The egg feels very warm","","","",""
"item_egg_slime","Slyzjke jajce","Slimy egg","","","",""
"item_description_egg_slime","Jajce pokryte slyzom","The egg is covered in slime","","","",""
"item_flute","Flutist's wand","Flutist's wand","","","",""
"item_weathercrystal_book","Book of Balance","Book of Balance","","","",""
"itemdesc_weathercrystal_book","It is said that to attain great wealth one must be ready to break the very foundation of this world. However, would one do that, they'd be cursed. Yet their own greed is a curse on its own...","It is said that to attain great wealth one must be ready to break the very foundation of this world. However, would one do that, they'd be cursed. Yet their own greed is a curse on its own...","","","",""
"item_chest_dark","Dark chest","Dark chest","","","",""
"item_weathercrystal","Crystal of Balance","Crystal of Balance","","","",""
"item_goldnugget_10","Zolotyj samorodok (10)","Gold nugget (10)","","","",""
"item_goldnugget_50","Zolotyj samorodok (50)","Gold nugget (50)","","","",""
"item_goldnugget_200","Zolotyj samorodok (200)","Gold nugget (200)","","","",""
"item_goldnugget_1000","Zolotyj samorodok (1000)","Gold nugget (1000)","","","",""
"item_goldnugget_10000","Zolotyj Idol (10000)","Golden Idol (10000)","","","",""
"item_runestone_laser","Runestone of light","Runestone of light","","","",""
"item_runestone_fireball","Runestone of fire","Runestone of fire","","","",""
"item_runestone_lava","Runestone of magma","Runestone of magma","","","",""
"item_runestone_disc","Runestone of edges","Runestone of edges","","","",""
"item_runestone_null","Runestone of emptiness","Runestone of emptiness","","","",""
"item_runestone_slow","Runestone of weight","Runestone of weight","","","",""
"itemdesc_runestone","A runestone with a strong magical aura. You feel like kicking it.","A runestone with a strong magical aura. You feel like kicking it.","","","",""
"item_key","Crystal key","Crystal key","","","",""
"itemdesc_key_0","The key is voiceless.","The key is voiceless.","","","",""
"itemdesc_key_1","The key hums, but something is missing...","The key hums, but something is missing...","","","",""
"itemdesc_key_2","The key whispers secrets and promises; it is ready.","The key whispers secrets and promises; it is ready.","","","",""
"item_description_potion_usage","\n$0 na predmet - vypyty","\n$0 on item - drink","","","",""
"item_jar","Banka","Jar","","","",""
"item_description_jar","Equip and spray or throw","Equip and spray or throw","","","",""
"item_jar_with_material","$0 jar","$0 jar","","","",""
"item_broken_wand","Zlamana palyčka","Broken wand","","","",""
"item_description_broken_wand","Cja palyčka perelomylasja navpil, ale vse ŝe potriskuje mağičnoju enerğijeju","This wand has snapped in half but it still crackles with magical energy","","","",""
"item_thunderstone","Ukkoskivi","Ukkoskivi","","","doesn't need to be translated",""
"item_description_thunderstone","This small rock makes you feel very charged.","This small rock makes you feel very charged.","","","",""
"item_brimstone","Kiuaskivi","Kiuaskivi","","","doesn't need to be translated",""
"item_description_brimstone","Cej kryxitnyj kaminj vyğljadaje najbiljš palkym, ale pry dotyku do njoğo vidčuvajetjsja lyše pryjemne teplo.","This tiny rock looks most fiery, but when touched only a pleasant warmth can be felt.","","","",""
"item_moon","Kuu","Kuu","","","doesn't need to be translated",""
"item_description_moon","Cej kryxitnyj nebesnyj ob'jekt maje syljne ğravitacijne tjažinnja.","This tiny celestial object has a strong gravitational pull.","","","",""
"item_waterstone","Vuoksikivi","Vuoksikivi","","","",""
"item_description_waterstone","This small rock is hard and solid, yet seems to be gushing with water.","This small rock is hard and solid, yet seems to be gushing with water.","","","",""
"item_bloodmoney","Kryvavyj zolotyj samorodok","Bloody gold nugget","","","",""
"item_bloodmoney_10","Kryvavyj zolotyj samorodok (10)","Bloody gold nugget (10)","","","",""
"item_bloodmoney_50","Kryvavyj zolotyj samorodok (50)","Bloody gold nugget (50)","","","",""
"item_bloodmoney_200","Kryvavyj zolotyj samorodok (200)","Bloody gold nugget (200)","","","",""
"item_bloodmoney_1000","Kryvavyj zolotyj samorodok (1000)","Bloody gold nugget (1000)","","","",""
"item_bloodmoney_10000","Kryvavyj zolotyj idol (10000)","Bloody golden Idol (10000)","","","",""
"item_die_roll","The die is rolling...","The die is rolling...","","","",""
"item_die_1","The die rolled a 1!","The die rolled a 1!","","","",""
"item_die_2","The die rolled a 2!","The die rolled a 2!","","","",""
"item_die_3","The die rolled a 3!","The die rolled a 3!","","","",""
"item_die_4","The die rolled a 4!","The die rolled a 4!","","","",""
"item_die_5","The die rolled a 5!","The die rolled a 5!","","","",""
"item_die_6","The die rolled a 6!","The die rolled a 6!","","","",""
"item_die_bad","You're extremely unlucky...!","You're extremely unlucky...!","","","",""
